ï»¿,1. TARGET,,,,,,,,,,,,,,,,,,,,,,
,êµ¬ ë¶,,Y2023,vs Y2023,Y2024,,,,,,,,,,,,,,,,,,
,,,Monthly ave.,Target(%),Monthly ave.,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Sum,,,,,
,Qty,Radial," 8,000 ",91%," 7,300 "," 3,900 "," 4,300 "," 4,500 "," 4,900 "," 8,300 "," 8,500 "," 8,700 "," 9,100 "," 9,300 "," 8,900 "," 8,700 "," 8,500 "," 87,600 ",,,,,
,,Bias,,,, - , - , - , - , - , - ," 1,500 ", - , - ," 3,000 "," 3,000 "," 5,000 "," 12,500 ",,,,,
,,OTR,,,, - , - , - , - , - , - , - , - , - , - , - , - , - ,,,,,
,(pcs),Solid," 1,300 ",123%," 1,600 "," 1,391 "," 1,391 "," 1,705 "," 1,076 "," 1,705 "," 1,705 "," 1,705 "," 1,810 "," 1,810 "," 1,810 "," 1,705 "," 1,391 "," 19,204 ",,,,,
,,Tube," 30,000 ",137%," 41,000 "," 36,000 "," 36,000 "," 41,000 "," 33,000 "," 36,000 "," 38,000 "," 41,000 "," 46,000 "," 48,000 "," 51,000 "," 51,000 "," 35,000 "," 492,000 ",,,,,
,,Flap," 14,000 ",143%," 20,000 "," 19,000 "," 19,000 "," 20,000 "," 13,000 "," 20,000 "," 21,000 "," 21,000 "," 23,000 "," 23,000 "," 24,000 "," 23,000 "," 14,000 "," 240,000 ",,,,,
,AMT,Radial," 1,504,422 ",95%," 1,435,535 "," 768,777 "," 847,219 "," 886,441 "," 964,883 "," 1,631,641 "," 1,670,862 "," 1,710,083 "," 1,788,525 "," 1,827,746 "," 1,749,304 "," 1,710,083 "," 1,670,862 "," 17,226,426 ",,,,,
,,Bias,,,, - , - , - , - , - , - ," 188,576 ", - , - ," 377,152 "," 377,152 "," 662,064 "," 1,604,944 ",,,,,
,,OTR, - ,,, - , - , - , - , - , - , - , - , - , - , - , - , - ,,,,,
,(USD),Solid," 138,054 ",124%," 171,396 "," 148,976 "," 148,976 "," 182,606 "," 115,240 "," 182,606 "," 182,606 "," 182,606 "," 193,851 "," 193,851 "," 193,851 "," 182,606 "," 148,976 "," 2,056,748 ",,,,,
,,Tube," 371,773 ",143%," 531,069 "," 466,461 "," 470,709 "," 525,655 "," 428,474 "," 468,585 "," 494,288 "," 533,089 "," 598,088 "," 623,791 "," 660,468 "," 649,849 "," 453,373 "," 6,372,831 ",,,,,
,,Flap," 47,653 ",156%," 74,212 "," 70,495 "," 70,495 "," 74,207 "," 48,234 "," 74,207 "," 77,924 "," 77,924 "," 85,341 "," 85,347 "," 89,058 "," 85,354 "," 51,958 "," 890,545 ",,,,,
,,Total," 2,061,901 ",114%," 2,345,958 "," 1,454,710 "," 1,537,400 "," 1,668,908 "," 1,556,830 "," 2,357,038 "," 2,425,679 "," 2,692,278 "," 2,665,805 "," 2,730,735 "," 3,069,834 "," 3,005,043 "," 2,987,233 "," 28,151,494 ",,,,,
,ê²½ìì´ìµ,USD," 118,153 ",101%," 119,055 "," 22,600 "," 31,047 "," 42,372 "," 36,108 "," 115,104 "," 121,311 "," 157,105 "," 142,783 "," 148,825 "," 201,181 "," 195,181 "," 215,046 "," 1,428,662 ",,,,,
,,,5.7%,,5.1%,1.6%,2.0%,2.5%,2.3%,4.9%,5.0%,5.8%,5.4%,5.4%,6.6%,6.5%,7.2%,5.1%,,,,,
,2. ACHIEVEMENT,,,,,,,,,,,,,,,,,,,,,,
,êµ¬ ë¶,,Y2023,vs Y2024,Y2024,,,,,,,,,,,,,,,,,,
,,,Monthly ave.,Achiv.(%),Monthly ave.,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Sum,,,,,
,Qty,Radial," 5,576 ",98%," 5,458 "," 5,012 "," 4,408 "," 2,729 "," 2,306 "," 5,103 "," 5,574 "," 10,613 "," 7,921 "," 6,746 "," 6,543 "," 4,790 "," 3,748 "," 65,493 ",,,7565,6960,6375
,,Bias, - ,-, 574 , 174 , 234 , 234 , 143 , 230 , 458 ," 1,353 "," 1,065 ", 644 , 843 , 844 , 662 ," 6,884 ",,,2550,2400,3750
,,OTR, 20 ,315%, 64 , - , - , - , - , - , - , - , 230 , - , 98 , 369 , 70 , 767 ,,,0,0,0
,,Solid," 1,249 ",117%," 1,463 "," 1,375 "," 1,416 "," 1,176 ", 647 ," 1,244 "," 1,468 "," 1,441 "," 1,993 "," 1,859 "," 1,950 "," 1,462 "," 1,530 "," 17,561 ",,,1539,1364,1043
,(pcs),Tube," 25,891 ",128%," 33,131 "," 29,297 "," 38,288 "," 32,510 "," 26,016 "," 35,673 "," 22,919 "," 36,902 "," 31,608 "," 40,762 "," 37,445 "," 32,677 "," 33,480 "," 397,577 ",,,43350,40800,26250
,,Flap," 14,689 ",135%," 19,780 "," 18,836 "," 16,904 "," 15,058 "," 14,584 "," 22,464 "," 14,014 "," 26,679 "," 25,719 "," 20,891 "," 23,822 "," 19,074 "," 19,313 "," 237,358 ",,,20400,18400,10500
,AMT,Radial," 980,236 ",100%," 976,932 "," 936,475 "," 913,383 "," 396,019 "," 318,598 "," 892,478 "," 974,850 "," 1,886,084 "," 1,362,940 "," 1,255,404 "," 1,190,575 "," 900,396 "," 695,984 "," 11,723,185 ",,,1486908,1368066,1253146
