ï»¿,1. TARGET,,,,,,,,,,,,,,,,,,,,,,
,êµ¬ ë¶,,Y2024,vs Y2024,Y2025,,,,,,,,,,,,,,,,,,
,,,Monthly ave.,Target(%),Monthly ave.,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Sum,,,,,
,Qty,Radial," 7,300 ",89%," 6,500 "," 4,000 "," 4,100 "," 2,500 "," 3,300 "," 6,900 "," 7,500 "," 7,700 "," 8,400 "," 8,700 "," 8,900 "," 8,200 "," 7,800 "," 78,000 ",,,,,
,,Bias,,," 1,200 ", 500 , 600 , 300 , 450 ," 1,000 "," 1,050 "," 1,200 "," 1,500 "," 1,800 "," 2,200 "," 2,000 "," 1,800 "," 14,400 ",,,,,
,,OTR,,,,,,,,,,,,,,,, - ,,,,,
,(pcs),IND," 1,600 ",106%," 1,700 "," 1,500 "," 1,700 "," 1,300 "," 1,390 "," 1,770 "," 1,770 "," 1,835 "," 1,835 "," 1,900 "," 2,000 "," 1,800 "," 1,600 "," 20,400 ",,,,,
,,VUL,,," 1,000 ", 600 , 800 , 300 , 500 , 950 ," 1,000 "," 1,150 "," 1,200 "," 1,300 "," 1,400 "," 1,400 "," 1,400 "," 12,000 ",,,,,
,,Tube," 41,000 ",98%," 40,000 "," 31,600 "," 32,700 "," 22,800 "," 24,714 "," 37,000 "," 40,000 "," 42,000 "," 45,000 "," 50,820 "," 53,820 "," 52,646 "," 46,900 "," 480,000 ",,,,,
,,Flap," 20,000 ",100%," 20,000 "," 18,650 "," 18,650 "," 12,650 "," 13,400 "," 19,800 "," 20,950 "," 21,900 "," 22,950 "," 23,200 "," 25,000 "," 25,450 "," 17,400 "," 240,000 ",,,,,
,AMT,Radial," 20,000 ",4166%," 833,287 "," 512,792 "," 525,612 "," 320,495 "," 463,572 "," 904,825 "," 961,485 "," 987,125 "," 1,056,604 "," 1,095,063 "," 1,120,703 "," 1,051,224 "," 999,944 "," 9,999,444 ",,,,,
,,Bias,,," 50,835 "," 64,840 "," 78,360 "," 39,180 "," 90,500 "," 104,020 "," 129,680 "," 12,000 "," 14,880 "," 17,520 "," 21,600 "," 19,680 "," 17,760 "," 610,020 ",,,,,
,,OTR,,,,,,,,,,,,,,,, - ,,,,,
,(USD),IND," 171,396 ",102%," 174,293 "," 153,020 "," 174,250 "," 131,620 "," 141,250 "," 181,740 "," 181,740 "," 188,695 "," 188,695 "," 195,650 "," 206,180 "," 184,950 "," 163,720 "," 2,091,510 ",,,,,
,,VUL,,," 74,076 "," 43,350 "," 55,974 "," 21,675 "," 34,299 "," 69,551 "," 74,076 "," 84,914 "," 92,178 "," 98,490 "," 104,802 "," 104,802 "," 104,802 "," 888,912 ",,,,,
,,Tube," 531,069 ",99%," 528,399 "," 448,736 "," 475,347 "," 408,905 "," 475,347 "," 488,554 "," 528,441 "," 554,996 "," 594,727 "," 621,282 "," 661,101 "," 647,894 "," 435,460 "," 6,340,789 ",,,,,
,,Flap," 74,212 ",98%," 72,872 "," 69,228 "," 69,228 "," 47,367 "," 72,872 "," 72,872 "," 72,872 "," 76,525 "," 83,794 "," 83,803 "," 91,090 "," 83,803 "," 51,010 "," 874,464 ",,,,,
,,Total," 531,069 ",413%," 2,195,160 "," 1,511,734 "," 1,604,033 "," 1,106,597 "," 1,441,062 "," 2,191,618 "," 2,360,359 "," 2,470,647 "," 2,679,694 "," 2,813,647 "," 2,965,543 "," 2,781,176 "," 2,415,804 "," 26,341,915 ",,,,,
,ììì´ìµ,USD," 118,153 ",100%," 117,688 "," 40,155 "," 47,924 ","-6,734 "," 22,262 "," 119,480 "," 139,746 "," 150,722 "," 173,609 "," 188,823 "," 204,219 "," 181,698 "," 150,354 "," 1,412,259 ",,,,,
,ê²½ìì´ìµ,USD," 118,153 ",95%," 112,688 "," 35,155 "," 42,924 ","-11,734 "," 17,262 "," 114,480 "," 134,746 "," 145,722 "," 168,609 "," 183,823 "," 199,219 "," 176,698 "," 145,354 "," 1,352,259 ",,,,,
,,,22.2%,,5.1%,2.3%,2.7%,-1.1%,1.2%,5.2%,5.7%,5.9%,6.3%,6.5%,6.7%,6.4%,6.0%,5.1%,,,,,
,2. ACHIEVEMENT,,,,,,,,,,,,,,,,,,,,,,
,êµ¬ ë¶,,Y2024,vs Y2025,Y2025,,,,,,,,,,,,,,,,,,
,,,Monthly ave.,Achiv.(%),Monthly ave.,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Sum,,,,,
,Qty,TBR.," 5,458 ",90%," 4,938 "," 4,581 "," 4,119 "," 3,370 "," 3,504 "," 6,569 "," 4,975 "," 6,529 "," 4,921 "," 5,769 "," 3,767 "," 5,430 "," 5,718 "," 59,252 ",,,7565,6560,5850
,,TBB., 574 ,136%, 780 , 540 , 477 , 492 , 662 , 688 ," 1,122 ", 994 , 622 , 994 , 888 , 869 ," 1,011 "," 9,359 ",,,1870,1600,1350
,,OTR, 64 ,174%, 111 , 73 , 82 , 94 , 71 , 158 , 29 , 186 , 106 , 85 , 122 , 127 , 198 ," 1,331 ",,,0,0,0
,,AGR, - ,-, 178 , 126 , 429 , 406 , 109 , 101 , 196 , 16 , 72 , 36 , 9 , 431 , 210 ," 2,141 ",,,,,
,,IND," 1,463 ",93%," 1,362 "," 1,019 "," 1,487 "," 1,117 "," 1,086 "," 1,242 "," 1,031 "," 1,788 "," 1,591 "," 1,423 "," 1,664 "," 1,498 "," 1,399 "," 16,345 ",,,1700,1440,1200
,,VUL, - ,-, 368 , 305 , 491 , 331 , 215 , 328 , 368 , 514 , 373 , 473 , 494 , 257 , 269 ," 4,418 ",,,,,
,(pcs),Tube," 33,131 ",108%," 35,836 "," 27,204 "," 35,343 "," 28,041 "," 29,643 "," 31,965 "," 35,413 "," 41,952 "," 38,704 "," 38,781 "," 47,751 "," 40,047 "," 35,190 "," 430,034 ",,,45747,42117,35175
,,Flap," 19,780 ",123%," 24,399 "," 22,464 "," 23,164 "," 13,463 "," 20,295 "," 26,218 "," 23,639 "," 29,745 "," 25,906 "," 21,693 "," 30,714 "," 24,498 "," 30,985 "," 292,784 ",,,21250,20360,13050
,AMT,TBR.," 976,932 ",88%," 861,578 "," 822,390 "," 695,406 "," 618,761 "," 605,854 "," 1,166,031 "," 926,922 "," 1,184,199 "," 842,739 "," 881,217 "," 699,644 "," 882,775 "," 1,013,003 "," 10,338,941 ",,,952598,840979,749958
,,TBB.," 76,513 ",132%," 101,362 "," 68,152 "," 63,748 "," 63,931 "," 81,348 "," 89,850 "," 151,294 "," 133,057 "," 79,970 "," 137,911 "," 113,095 "," 110,077 "," 123,916 "," 1,216,349 ",,,18360,15744,13320
,,OTR," 43,592 ",139%," 60,781 "," 88,026 "," 28,684 "," 59,502 "," 36,895 "," 56,672 "," 22,186 "," 60,609 "," 42,215 "," 47,765 "," 90,192 "," 127,836 "," 68,792 "," 729,374 ",,,0,0,0
